pool,model,arm,excluded_family,rows,action_count,pass_count,action_rate,pass_rate,pass_with_action_count,action_to_pass
deepseek_clean,deepseek-v4-flash,staged_v4,ktx,232,34,3,0.14655172413793102,0.01293103448275862,3,0.08823529411764706
deepseek_clean,deepseek-v4-flash,staged_v4,mko,216,28,3,0.12962962962962962,0.013888888888888888,3,0.10714285714285714
deepseek_clean,deepseek-v4-flash,staged_v4,opt,224,34,3,0.15178571428571427,0.013392857142857142,3,0.08823529411764706
deepseek_clean,deepseek-v4-flash,staged_v4,plr,232,34,3,0.14655172413793102,0.01293103448275862,3,0.08823529411764706
deepseek_clean,deepseek-v4-flash,staged_v4,prm,232,33,3,0.14224137931034483,0.01293103448275862,3,0.09090909090909091
deepseek_clean,deepseek-v4-flash,staged_v4,pyg,232,34,3,0.14655172413793102,0.01293103448275862,3,0.08823529411764706
deepseek_clean,deepseek-v4-flash,staged_v4,rat,232,32,3,0.13793103448275862,0.01293103448275862,3,0.09375
deepseek_clean,deepseek-v4-flash,staged_v4,spc,232,34,3,0.14655172413793102,0.01293103448275862,3,0.08823529411764706
deepseek_clean,deepseek-v4-flash,staged_v4,tpl,192,23,0,0.11979166666666667,0.0,0,0.0
deepseek_clean,deepseek-v4-pro,single_shot_v3,dsl,216,49,2,0.22685185185185186,0.009259259259259259,2,0.04081632653061224
deepseek_clean,deepseek-v4-pro,single_shot_v3,fal,216,51,2,0.2361111111111111,0.009259259259259259,2,0.0392156862745098
deepseek_clean,deepseek-v4-pro,single_shot_v3,fbr,216,56,2,0.25925925925925924,0.009259259259259259,2,0.03571428571428571
deepseek_clean,deepseek-v4-pro,single_shot_v3,fyn,224,46,2,0.20535714285714285,0.008928571428571428,2,0.043478260869565216
deepseek_clean,deepseek-v4-pro,single_shot_v3,glz,224,56,2,0.25,0.008928571428571428,2,0.03571428571428571
deepseek_clean,deepseek-v4-pro,single_shot_v3,ktx,232,56,2,0.2413793103448276,0.008620689655172414,2,0.03571428571428571
deepseek_clean,deepseek-v4-pro,single_shot_v3,mko,216,42,2,0.19444444444444445,0.009259259259259259,2,0.047619047619047616
deepseek_clean,deepseek-v4-pro,single_shot_v3,opt,224,54,2,0.24107142857142858,0.008928571428571428,2,0.037037037037037035
deepseek_clean,deepseek-v4-pro,single_shot_v3,plr,232,56,2,0.2413793103448276,0.008620689655172414,2,0.03571428571428571
deepseek_clean,deepseek-v4-pro,single_shot_v3,prm,232,51,2,0.21982758620689655,0.008620689655172414,2,0.0392156862745098
deepseek_clean,deepseek-v4-pro,single_shot_v3,pyg,232,55,2,0.23706896551724138,0.008620689655172414,2,0.03636363636363636
deepseek_clean,deepseek-v4-pro,single_shot_v3,rat,232,56,2,0.2413793103448276,0.008620689655172414,2,0.03571428571428571
deepseek_clean,deepseek-v4-pro,single_shot_v3,spc,232,56,2,0.2413793103448276,0.008620689655172414,2,0.03571428571428571
deepseek_clean,deepseek-v4-pro,single_shot_v3,tpl,192,44,0,0.22916666666666666,0.0,0,0.0
deepseek_clean,deepseek-v4-pro,staged_v4,dsl,216,55,5,0.25462962962962965,0.023148148148148147,5,0.09090909090909091
deepseek_clean,deepseek-v4-pro,staged_v4,fal,216,42,5,0.19444444444444445,0.023148148148148147,5,0.11904761904761904
deepseek_clean,deepseek-v4-pro,staged_v4,fbr,216,57,5,0.2638888888888889,0.023148148148148147,5,0.08771929824561403
deepseek_clean,deepseek-v4-pro,staged_v4,fyn,224,48,5,0.21428571428571427,0.022321428571428572,5,0.10416666666666667
deepseek_clean,deepseek-v4-pro,staged_v4,glz,224,55,5,0.24553571428571427,0.022321428571428572,5,0.09090909090909091
deepseek_clean,deepseek-v4-pro,staged_v4,ktx,232,58,5,0.25,0.021551724137931036,5,0.08620689655172414
deepseek_clean,deepseek-v4-pro,staged_v4,mko,216,52,5,0.24074074074074073,0.023148148148148147,5,0.09615384615384616
deepseek_clean,deepseek-v4-pro,staged_v4,opt,224,53,5,0.23660714285714285,0.022321428571428572,5,0.09433962264150944
deepseek_clean,deepseek-v4-pro,staged_v4,plr,232,58,5,0.25,0.021551724137931036,5,0.08620689655172414
deepseek_clean,deepseek-v4-pro,staged_v4,prm,232,53,5,0.22844827586206898,0.021551724137931036,5,0.09433962264150944
deepseek_clean,deepseek-v4-pro,staged_v4,pyg,232,58,5,0.25,0.021551724137931036,5,0.08620689655172414
deepseek_clean,deepseek-v4-pro,staged_v4,rat,232,57,5,0.24568965517241378,0.021551724137931036,5,0.08771929824561403
deepseek_clean,deepseek-v4-pro,staged_v4,spc,232,58,5,0.25,0.021551724137931036,5,0.08620689655172414
deepseek_clean,deepseek-v4-pro,staged_v4,tpl,192,50,0,0.2604166666666667,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,single_shot_v3,fbr,232,60,7,0.25862068965517243,0.03017241379310345,7,0.11666666666666667
deepseek_extension,deepseek-v4-flash,single_shot_v3,fyn,232,60,7,0.25862068965517243,0.03017241379310345,7,0.11666666666666667
deepseek_extension,deepseek-v4-flash,single_shot_v3,glz,208,54,7,0.25961538461538464,0.03365384615384615,7,0.12962962962962962
deepseek_extension,deepseek-v4-flash,single_shot_v3,ktx,200,56,7,0.28,0.035,7,0.125
deepseek_extension,deepseek-v4-flash,single_shot_v3,mko,216,48,7,0.2222222222222222,0.032407407407407406,7,0.14583333333333334
deepseek_extension,deepseek-v4-flash,single_shot_v3,opt,208,57,7,0.27403846153846156,0.03365384615384615,7,0.12280701754385964
deepseek_extension,deepseek-v4-flash,single_shot_v3,plr,224,50,7,0.22321428571428573,0.03125,7,0.14
deepseek_extension,deepseek-v4-flash,single_shot_v3,prm,224,44,0,0.19642857142857142,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,single_shot_v3,pyg,216,52,7,0.24074074074074073,0.032407407407407406,7,0.1346153846153846
deepseek_extension,deepseek-v4-flash,single_shot_v3,rat,232,59,7,0.2543103448275862,0.03017241379310345,7,0.11864406779661017
deepseek_extension,deepseek-v4-flash,single_shot_v3,ruf,224,60,7,0.26785714285714285,0.03125,7,0.11666666666666667
deepseek_extension,deepseek-v4-flash,single_shot_v3,slt,232,60,7,0.25862068965517243,0.03017241379310345,7,0.11666666666666667
deepseek_extension,deepseek-v4-flash,single_shot_v3,spc,232,60,7,0.25862068965517243,0.03017241379310345,7,0.11666666666666667
deepseek_extension,deepseek-v4-flash,staged_v4,fbr,232,40,0,0.1724137931034483,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,fyn,232,41,0,0.17672413793103448,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,glz,208,31,0,0.14903846153846154,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,ktx,200,38,0,0.19,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,mko,216,37,0,0.1712962962962963,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,opt,208,32,0,0.15384615384615385,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,plr,224,33,0,0.14732142857142858,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,prm,224,41,0,0.18303571428571427,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,pyg,216,38,0,0.17592592592592593,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,rat,232,41,0,0.17672413793103448,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,ruf,224,38,0,0.16964285714285715,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,slt,232,41,0,0.17672413793103448,0.0,0,0.0
deepseek_extension,deepseek-v4-flash,staged_v4,spc,232,41,0,0.17672413793103448,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,single_shot_v3,fbr,232,61,7,0.2629310344827586,0.03017241379310345,7,0.11475409836065574
deepseek_extension,deepseek-v4-pro,single_shot_v3,fyn,232,61,7,0.2629310344827586,0.03017241379310345,7,0.11475409836065574
deepseek_extension,deepseek-v4-pro,single_shot_v3,glz,208,57,7,0.27403846153846156,0.03365384615384615,7,0.12280701754385964
deepseek_extension,deepseek-v4-pro,single_shot_v3,ktx,200,53,7,0.265,0.035,7,0.1320754716981132
deepseek_extension,deepseek-v4-pro,single_shot_v3,mko,216,53,7,0.24537037037037038,0.032407407407407406,7,0.1320754716981132
deepseek_extension,deepseek-v4-pro,single_shot_v3,opt,208,60,7,0.28846153846153844,0.03365384615384615,7,0.11666666666666667
deepseek_extension,deepseek-v4-pro,single_shot_v3,plr,224,57,7,0.2544642857142857,0.03125,7,0.12280701754385964
deepseek_extension,deepseek-v4-pro,single_shot_v3,prm,224,45,0,0.20089285714285715,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,single_shot_v3,pyg,216,54,7,0.25,0.032407407407407406,7,0.12962962962962962
deepseek_extension,deepseek-v4-pro,single_shot_v3,rat,232,54,7,0.23275862068965517,0.03017241379310345,7,0.12962962962962962
deepseek_extension,deepseek-v4-pro,single_shot_v3,ruf,224,61,7,0.27232142857142855,0.03125,7,0.11475409836065574
deepseek_extension,deepseek-v4-pro,single_shot_v3,slt,232,61,7,0.2629310344827586,0.03017241379310345,7,0.11475409836065574
deepseek_extension,deepseek-v4-pro,single_shot_v3,spc,232,55,7,0.23706896551724138,0.03017241379310345,7,0.12727272727272726
deepseek_extension,deepseek-v4-pro,staged_v4,fbr,232,42,0,0.1810344827586207,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,fyn,232,42,0,0.1810344827586207,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,glz,208,34,0,0.16346153846153846,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,ktx,200,40,0,0.2,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,mko,216,41,0,0.18981481481481483,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,opt,208,23,0,0.11057692307692307,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,plr,224,38,0,0.16964285714285715,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,prm,224,42,0,0.1875,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,pyg,216,37,0,0.1712962962962963,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,rat,232,42,0,0.1810344827586207,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,ruf,224,40,0,0.17857142857142858,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,slt,232,41,0,0.17672413793103448,0.0,0,0.0
deepseek_extension,deepseek-v4-pro,staged_v4,spc,232,42,0,0.1810344827586207,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,dsl,216,32,0,0.14814814814814814,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,fal,216,38,0,0.17592592592592593,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,fbr,216,40,0,0.18518518518518517,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,fyn,224,34,0,0.15178571428571427,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,glz,224,35,0,0.15625,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,ktx,232,39,0,0.16810344827586207,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,mko,216,34,0,0.1574074074074074,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,opt,224,36,0,0.16071428571428573,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,plr,232,40,0,0.1724137931034483,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,prm,232,34,0,0.14655172413793102,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,pyg,232,40,0,0.1724137931034483,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,rat,232,40,0,0.1724137931034483,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,spc,232,39,0,0.16810344827586207,0.0,0,0.0
glm_supplementary,glm-5.2,single_shot_v3,tpl,192,39,0,0.203125,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,dsl,216,34,0,0.1574074074074074,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,fal,216,40,0,0.18518518518518517,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,fbr,216,43,0,0.19907407407407407,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,fyn,224,40,0,0.17857142857142858,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,glz,224,46,0,0.20535714285714285,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,ktx,232,45,0,0.1939655172413793,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,mko,216,38,0,0.17592592592592593,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,opt,224,44,0,0.19642857142857142,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,plr,232,45,0,0.1939655172413793,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,prm,232,46,0,0.19827586206896552,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,pyg,232,44,0,0.1896551724137931,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,rat,232,45,0,0.1939655172413793,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,spc,232,46,0,0.19827586206896552,0.0,0,0.0
glm_supplementary,glm-5.2,staged_v4,tpl,192,42,0,0.21875,0.0,0,0.0
