control_id,task_id,task_family,control_type,attempt_index,fresh_state,verifier_entered,infrastructure_failure,infrastructure_failure_type,expected_result,observed_result,replay_disagreement,exit_status,runtime_seconds,environment_identity,stdout_hash,stderr_hash,patch_control_hash,source_artifact_path
fal-1.3.0-roadmap::noop_negative::rep2,fal-1.3.0-roadmap,fal,no_op,2,1,1,0,NA,fail,fail,0,0,5.521726,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,e2c4f29d7e9f76f69108e5855112c3a1d5d52514cbe4d0c43a40981467d53b25,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NA,retained-evidence://c4f7c269167506638ca14b4da41ec795b42373f041fbb00ca5e1a681916174c0
fal-1.3.0-roadmap::M2_drop_required_file::rep0,fal-1.3.0-roadmap,fal,reference_derived_mutant,0,1,1,0,NA,fail,fail,0,0,4.66888,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,fb8844bd2d325650a5621f5dc2149b088f202cb13b97a141217cf8119610bde8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a8687dbac6ac4d85f77de90a53362d019205e5071161aabaf93c795174be1800,retained-evidence://d1e75e6521fad192e8b145c0c97db822bb5c07c06c03594817f79b5ffcdf348d
fal-1.3.0-roadmap::M2_drop_required_file::rep1,fal-1.3.0-roadmap,fal,reference_derived_mutant,1,1,1,0,NA,fail,fail,0,0,4.711675,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,fb8844bd2d325650a5621f5dc2149b088f202cb13b97a141217cf8119610bde8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a8687dbac6ac4d85f77de90a53362d019205e5071161aabaf93c795174be1800,retained-evidence://1135f10f39579e977b1789ff76d352ad0c5aec0ddfd661491b4f6a39ba1b235e
fal-1.3.0-roadmap::M2_drop_required_file::rep2,fal-1.3.0-roadmap,fal,reference_derived_mutant,2,1,1,0,NA,fail,fail,0,0,4.66421,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,fb8844bd2d325650a5621f5dc2149b088f202cb13b97a141217cf8119610bde8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a8687dbac6ac4d85f77de90a53362d019205e5071161aabaf93c795174be1800,retained-evidence://29195154b2d0b157891bcc5f956c317abf8d03959c9ab65143a4820412067194
fal-1.3.0-roadmap::M3_operator_or_literal::rep0,fal-1.3.0-roadmap,fal,reference_derived_mutant,0,1,1,0,NA,fail,fail,0,0,4.407184,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,3966230475b36a7930eaf29e33a257fa61b28f1a5590a16a29435314aa1bc9c7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,996c52b63934bbc11e907f96195626ad721878b118b9b3999d340304c7a4ce2f,retained-evidence://7faab28df6a36a0e3efcf413b5a72c36d76065fbead478fd63c302f319701e5a
fal-1.3.0-roadmap::M3_operator_or_literal::rep1,fal-1.3.0-roadmap,fal,reference_derived_mutant,1,1,1,0,NA,fail,fail,0,0,4.500639,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,edc5686550fe07ce8ff32007d69ebd8d75c932601cdf56d4f228027e1cbf5feb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,996c52b63934bbc11e907f96195626ad721878b118b9b3999d340304c7a4ce2f,retained-evidence://865bc3b3478fd1cbb8bac46eab9fdb6e9cf1fa3e0e10cccc9991ab28b3274336
fal-1.3.0-roadmap::M3_operator_or_literal::rep2,fal-1.3.0-roadmap,fal,reference_derived_mutant,2,1,1,0,NA,fail,fail,0,0,4.378949,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,3966230475b36a7930eaf29e33a257fa61b28f1a5590a16a29435314aa1bc9c7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,996c52b63934bbc11e907f96195626ad721878b118b9b3999d340304c7a4ce2f,retained-evidence://ce865ff7717b25c13ec8458aa59671c5e1067821398b83c213f44c56f1eeb42d
tpl-3.2.0-roadmap::gold_positive::rep0,tpl-3.2.0-roadmap,tpl,gold_reference,0,1,1,0,NA,pass,pass,0,0,9.432134,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,fa14a7b411a13de67e3b8f6d55fb1042e80542839e3c357c8fb47c4a0e56f365,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2062d5458b843668ba83ba5589b8735b794fab718deacc7b989eca8e43e559d0,retained-evidence://a1c2dcca0af89d4c39b66dd0f966aca8d1efc51b20e31b9ac2267e6cd710ad12
tpl-3.2.0-roadmap::noop_negative::rep0,tpl-3.2.0-roadmap,tpl,no_op,0,1,1,0,NA,fail,fail,0,0,4.199368,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,e526d63f71d0744f2f131f32472bf99e69878ff029383aed07ac44fa5ed8d8bc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NA,retained-evidence://7ec8f18650ad07af55c97b669282cae62614c059316a2ffad49e6673a2aef62b
tpl-3.2.0-roadmap::gold_positive::rep1,tpl-3.2.0-roadmap,tpl,gold_reference,1,1,1,0,NA,pass,pass,0,0,9.355906,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,fa14a7b411a13de67e3b8f6d55fb1042e80542839e3c357c8fb47c4a0e56f365,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2062d5458b843668ba83ba5589b8735b794fab718deacc7b989eca8e43e559d0,retained-evidence://254ae314ae72572fb4dd9b7b9f548335ad571e70d72706ab6e878a30b79a12f5
tpl-3.2.0-roadmap::noop_negative::rep1,tpl-3.2.0-roadmap,tpl,no_op,1,1,1,0,NA,fail,fail,0,0,4.206449,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,e526d63f71d0744f2f131f32472bf99e69878ff029383aed07ac44fa5ed8d8bc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NA,retained-evidence://7e49e1c9fc925eaa32b743c2b3b9b8f3d6601b33537bcc499516ff33ed9f607b
tpl-3.2.0-roadmap::gold_positive::rep2,tpl-3.2.0-roadmap,tpl,gold_reference,2,1,1,0,NA,pass,pass,0,0,9.65542,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,fa14a7b411a13de67e3b8f6d55fb1042e80542839e3c357c8fb47c4a0e56f365,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2062d5458b843668ba83ba5589b8735b794fab718deacc7b989eca8e43e559d0,retained-evidence://1a2e018a4242033329b9d875efbebcdf406aa79b00311033ed65145438f87b7d
tpl-3.2.0-roadmap::noop_negative::rep2,tpl-3.2.0-roadmap,tpl,no_op,2,1,1,0,NA,fail,fail,0,0,4.197914,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,e526d63f71d0744f2f131f32472bf99e69878ff029383aed07ac44fa5ed8d8bc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NA,retained-evidence://6b88791a310c694726a016fd058542129aa4a0a4962e23ab98ec41ad4bf6c574
tpl-3.2.0-roadmap::M3_operator_or_literal::rep0,tpl-3.2.0-roadmap,tpl,reference_derived_mutant,0,1,1,0,NA,fail,fail,0,0,12.11755,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,238a22a8c98a32d05064a9af96c421501688b2c217d4477145d8ee7c34d600fb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,eeae886a01d985e2df19e2ab04e1440b8902b6b56092abd3338e069edf76aaf3,retained-evidence://c6c90f66e4b388d691b3f5a22eb667ba838224e44905021229400a1e650f0a17
tpl-3.2.0-roadmap::M3_operator_or_literal::rep1,tpl-3.2.0-roadmap,tpl,reference_derived_mutant,1,1,1,0,NA,fail,fail,0,0,11.082145,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,238a22a8c98a32d05064a9af96c421501688b2c217d4477145d8ee7c34d600fb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,eeae886a01d985e2df19e2ab04e1440b8902b6b56092abd3338e069edf76aaf3,retained-evidence://51f4791747494a77461c24f79ebe2313c1c796e03c65ac354588d50862ff25ce
tpl-3.2.0-roadmap::M3_operator_or_literal::rep2,tpl-3.2.0-roadmap,tpl,reference_derived_mutant,2,1,1,0,NA,fail,fail,0,0,10.21762,sha256:52ba52322b7eddc9624c74d0b06aab78fd0e5e6c6ab28828b363357c5176da46,238a22a8c98a32d05064a9af96c421501688b2c217d4477145d8ee7c34d600fb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,eeae886a01d985e2df19e2ab04e1440b8902b6b56092abd3338e069edf76aaf3,retained-evidence://1a94e223473dae65eff4d95644825e67073d845a4fcf124d4538057e5ca3ee5b
