stratum,metric,method,k,cell_count,discovery_rate
deepseek_extension,verifier_pass,ORDERED_PREFIX,5,120,0.016666666666666666
deepseek_extension,verifier_pass,ORDERED_PREFIX,6,120,0.016666666666666666
deepseek_extension,verifier_pass,ORDERED_PREFIX,7,120,0.016666666666666666
deepseek_extension,verifier_pass,ORDERED_PREFIX,8,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,1,120,0.014583333333333334
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,2,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,3,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,4,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,5,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,6,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,7,120,0.016666666666666666
deepseek_extension,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,8,120,0.016666666666666666
glm_supplementary,action_harmonized,ORDERED_PREFIX,1,60,0.13333333333333333
glm_supplementary,action_harmonized,ORDERED_PREFIX,2,60,0.3
glm_supplementary,action_harmonized,ORDERED_PREFIX,3,60,0.3333333333333333
glm_supplementary,action_harmonized,ORDERED_PREFIX,4,60,0.35
glm_supplementary,action_harmonized,ORDERED_PREFIX,5,60,0.36666666666666664
glm_supplementary,action_harmonized,ORDERED_PREFIX,6,60,0.43333333333333335
glm_supplementary,action_harmonized,ORDERED_PREFIX,7,60,0.45
glm_supplementary,action_harmonized,ORDERED_PREFIX,8,60,0.45
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,1,60,0.17916666666666667
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,2,60,0.26904761904761904
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,3,60,0.3229166666666667
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,4,60,0.36000000000000004
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,5,60,0.38898809523809524
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,6,60,0.41309523809523807
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,7,60,0.43333333333333335
glm_supplementary,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,8,60,0.45
glm_supplementary,verifier_pass,ORDERED_PREFIX,1,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,2,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,3,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,4,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,5,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,6,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,7,60,0.0
glm_supplementary,verifier_pass,ORDERED_PREFIX,8,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,1,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,2,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,3,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,4,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,5,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,6,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,7,60,0.0
glm_supplementary,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,8,60,0.0
