stratum,task_id,task_family,number_of_cells,number_of_rows,number_of_action_rows,number_of_pass_rows,has_any_action,has_any_pass,number_of_action_positive_cells,number_of_pass_positive_cells
deepseek_clean,tpl-5.1.0-roadmap,tpl,4,32,0,0,0,0,0,0
deepseek_extension,fbr-2.27.0-roadmap,fbr,4,32,1,0,1,0,1,0
deepseek_extension,fyn-2.5.0-roadmap,fyn,4,32,0,0,0,0,0,0
deepseek_extension,glz-5.6.0-roadmap,glz,4,32,2,0,1,0,1,0
deepseek_extension,glz-6.1.0-roadmap,glz,4,32,0,0,0,0,0,0
deepseek_extension,glz-6.2.0-roadmap,glz,4,32,5,0,1,0,2,0
deepseek_extension,glz-7.0.1-roadmap,glz,4,32,21,0,1,0,4,0
deepseek_extension,ktx-0.12.0-roadmap,ktx,4,32,4,0,1,0,3,0
deepseek_extension,ktx-0.13.0-roadmap,ktx,4,32,0,0,0,0,0,0
deepseek_extension,ktx-0.15.1-roadmap,ktx,4,32,11,0,1,0,2,0
deepseek_extension,ktx-0.6.0-roadmap,ktx,4,32,1,0,1,0,1,0
deepseek_extension,ktx-0.9.0-roadmap,ktx,4,32,1,0,1,0,1,0
deepseek_extension,mko-5.0.0-roadmap,mko,4,32,15,0,1,0,4,0
deepseek_extension,mko-6.5.0-roadmap,mko,4,32,8,0,1,0,2,0
deepseek_extension,mko-7.0.0-roadmap,mko,4,32,2,0,1,0,2,0
deepseek_extension,opt-4.0.0-roadmap,opt,4,32,2,0,1,0,2,0
deepseek_extension,opt-4.4.0-roadmap,opt,4,32,8,0,1,0,2,0
deepseek_extension,opt-4.5.0-roadmap,opt,4,32,6,0,1,0,3,0
deepseek_extension,opt-4.6.0-roadmap,opt,4,32,16,0,1,0,4,0
deepseek_extension,plr-1.10.0-roadmap,plr,4,32,15,0,1,0,3,0
deepseek_extension,plr-1.22.0-roadmap,plr,4,32,11,0,1,0,4,0
deepseek_extension,prm-5.15.0-roadmap,prm,4,32,16,14,1,1,2,2
deepseek_extension,prm-6.16.0-roadmap,prm,4,32,16,0,1,0,2,0
deepseek_extension,pyg-2.2.0-roadmap,pyg,4,32,2,0,1,0,1,0
deepseek_extension,pyg-2.4.0-roadmap,pyg,4,32,18,0,1,0,3,0
deepseek_extension,pyg-2.7.0-roadmap,pyg,4,32,3,0,1,0,1,0
deepseek_extension,rat-0.27.0-roadmap,rat,4,32,8,0,1,0,2,0
deepseek_extension,ruf-0.2.0-roadmap,ruf,4,32,0,0,0,0,0,0
deepseek_extension,ruf-0.3.0-roadmap,ruf,4,32,5,0,1,0,2,0
deepseek_extension,slt-1.14.0-roadmap,slt,4,32,1,0,1,0,1,0
deepseek_extension,spc-3.4.0-roadmap,spc,4,32,6,0,1,0,1,0
glm_supplementary,dsl-2.1.0-roadmap,dsl,2,16,11,0,1,0,2,0
glm_supplementary,dsl-2.2.0-roadmap,dsl,2,16,2,0,1,0,1,0
glm_supplementary,dsl-2.3.0-roadmap,dsl,2,16,7,0,1,0,2,0
glm_supplementary,fal-1.3.0-roadmap,fal,2,16,0,0,0,0,0,0
glm_supplementary,fal-2.0.0-roadmap,fal,2,16,0,0,0,0,0,0
glm_supplementary,fal-4.1.0-roadmap,fal,2,16,8,0,1,0,2,0
glm_supplementary,fbr-2.42.0-roadmap,fbr,2,16,3,0,1,0,1,0
glm_supplementary,fbr-2.43.0-roadmap,fbr,2,16,0,0,0,0,0,0
glm_supplementary,fbr-3.0.0-roadmap,fbr,2,16,0,0,0,0,0,0
glm_supplementary,fyn-2.1.0-roadmap,fyn,2,16,2,0,1,0,2,0
glm_supplementary,fyn-2.7.0-roadmap,fyn,2,16,10,0,1,0,2,0
glm_supplementary,glz-3.0.0-roadmap,glz,2,16,0,0,0,0,0,0
glm_supplementary,glz-4.0.0-roadmap,glz,2,16,5,0,1,0,1,0
glm_supplementary,ktx-0.10.0-roadmap,ktx,2,16,2,0,1,0,2,0
glm_supplementary,mko-3.0.0-roadmap,mko,2,16,0,0,0,0,0,0
glm_supplementary,mko-4.0.0-roadmap,mko,2,16,2,0,1,0,1,0
glm_supplementary,mko-4.1.0-roadmap,mko,2,16,12,0,1,0,2,0
glm_supplementary,opt-2.0.0-roadmap,opt,2,16,0,0,0,0,0,0
glm_supplementary,opt-3.0.0-roadmap,opt,2,16,6,0,1,0,2,0
glm_supplementary,plr-1.0.0-roadmap,plr,2,16,1,0,1,0,1,0
glm_supplementary,prm-5.0.0-roadmap,prm,2,16,6,0,1,0,1,0
glm_supplementary,pyg-1.6.3-roadmap,pyg,2,16,2,0,1,0,1,0
glm_supplementary,rat-0.24.0-roadmap,rat,2,16,1,0,1,0,1,0
glm_supplementary,spc-3.5.0-roadmap,spc,2,16,1,0,1,0,1,0
glm_supplementary,tpl-3.0.0-roadmap,tpl,2,16,0,0,0,0,0,0
glm_supplementary,tpl-3.2.0-roadmap,tpl,2,16,0,0,0,0,0,0
glm_supplementary,tpl-3.3.0-roadmap,tpl,2,16,4,0,1,0,1,0
glm_supplementary,tpl-4.0.0-roadmap,tpl,2,16,1,0,1,0,1,0
glm_supplementary,tpl-5.0.0-roadmap,tpl,2,16,0,0,0,0,0,0
glm_supplementary,tpl-5.1.0-roadmap,tpl,2,16,0,0,0,0,0,0
