run_id,stratum,task_id,task_family,language,model_route,protocol_arm,cell_id,repetition_index,action_raw,deterministic_edit_apply_success,patch_apply_check_ok,action_harmonized,verifier_pass,failure_step,failure_reason,failure_class,timestamp_utc,canonical_row_id
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep2,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,2,0,0,0,0,0,stage2_contract_failed,stage2_edit_outside_stage_state,stage2_contract_failed,2026-07-07T10:21:39.544064Z,32d4b46f71a0b2abaaf3eba7
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep3,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,3,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:22:39.068394Z,e26a4e483a918d9269183026
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep4,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,4,1,1,1,1,0,test_failed,,,2026-07-07T13:11:54.734879Z,ee7f92a184dba0797f54212b
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep5,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,5,0,0,0,0,0,stage2_contract_failed,stage2_edit_outside_stage_state,stage2_contract_failed,2026-07-07T10:24:34.936229Z,900347f8ce2386d3324beac9
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep6,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,6,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:23:44.433105Z,60254c14e23b46c142767219
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep7,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,7,1,1,1,1,0,test_failed,,,2026-07-07T13:12:57.393059Z,86576aea3bbd45c87865f825
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep0,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,0,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:23:38.661872Z,af7b896e0bdb3615592972c4
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep1,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,1,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:24:51.637569Z,95ec2a5216d4c5b2e5127e1f
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep2,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,2,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:24:55.677073Z,c2376483bece74cd6864f9bf
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep3,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,3,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:25:07.064152Z,781b037d087845de616de3ab
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep4,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,4,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:25:57.524422Z,22b4e8a7dc70f01e2332a9a7
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep5,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,5,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:25:24.587464Z,485d0b0a56dc76bccc9aadf6
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep6,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,6,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:25:23.433125Z,091b815199d583f5c47bc94e
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3::rep7,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,7,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:25:37.657063Z,48697812e468f76d2d66d6af
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep0,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,0,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:28:46.547937Z,160ea5a2cf42398a63573b02
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep1,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,1,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:27:47.770115Z,5622612bb998b26130b83248
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep2,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,2,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:29:44.195074Z,2f6344586335f549b67d6b85
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep3,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,3,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:27:43.073535Z,497e2e89901bdcda17242b07
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep4,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,4,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:29:09.403229Z,1344d86bdf555c9f40dabb72
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep5,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,5,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:29:35.281239Z,ebd9258bd2e9da635e058eaf
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep6,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,6,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:30:27.828247Z,9ed305f634cbf8ec4e2b128b
deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4::rep7,deepseek_clean,dsl-2.2.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,7,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:31:04.357105Z,83ebc550c2aee46037d0ad1b
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep0,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,0,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:31:06.923752Z,14ba991726b47e535457b92d
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep1,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,1,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:30:44.249898Z,8aabd83e6c3f93f2cb2cbdcd
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep2,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,2,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:31:46.321093Z,841d57334bd1d0a411267e98
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep3,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,3,1,1,1,1,0,test_failed,,,2026-07-07T13:13:30.434005Z,38eed8bfdf206aedddf269f2
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep4,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,4,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:32:34.765465Z,b1d33262c7e5ee55d275721e
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep5,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,5,1,1,1,1,0,test_failed,,,2026-07-07T13:14:00.267321Z,19639e7c967b4faa36b021a9
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep6,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,6,1,1,1,1,0,test_failed,,,2026-07-07T13:14:38.316904Z,15b24d3cdbc9f7935af7da2b
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3::rep7,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,7,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:33:15.329783Z,76f94d74f28c4f7801e4b10c
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep0,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,0,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:32:29.960719Z,8e34fabdcfc8c0fe6b4642b5
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep1,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,1,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:32:38.680624Z,c2c94814fa675b1347ca99e8
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep2,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,2,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:32:49.900713Z,d1bc0e859d1383f7b9d5cb88
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep3,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,3,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:32:51.456752Z,3cd90dd1e8ac6335566d8413
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep4,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,4,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:32:59.616066Z,d5605127d0001aaa231cc064
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep5,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,5,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:33:06.726668Z,5821a7473d098a420bc6c169
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep6,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,6,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:33:11.263266Z,c19688148550093629f79596
deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4::rep7,deepseek_clean,dsl-2.3.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,7,0,0,0,0,0,stage1_plan_failed,stage_state_existing_files_invalid,stage1_plan_failed,2026-07-07T10:33:15.797426Z,820447d3dd46db1326c9fd1e
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep0,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,0,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:34:21.511032Z,7784668887e6947cc0dd2144
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep1,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,1,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:35:20.012106Z,33cebbc3c39db206cc8eff39
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep2,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,2,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:34:50.412095Z,2c8244853cf7cb19f4ed524d
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep3,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,3,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:34:52.354561Z,9d301482b8311457ae0d956b
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep4,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,4,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:35:44.168880Z,58d5bb0690f3355b339baad0
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep5,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,5,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:37:03.737054Z,db38c01cf7c573c7358b1b14
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep6,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,6,0,0,0,0,0,edit_json_invalid,edit_json_invalid,edit_json_invalid,2026-07-07T10:36:14.974547Z,6ed4da41c74f45dd2cf37ee8
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3::rep7,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,7,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:36:57.189025Z,3b0c0a246272ce0ad318005b
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep0,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,0,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:39:00.603356Z,d2b37e9df9803a8c850d39cd
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep1,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,1,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:39:20.946092Z,47941f81b4b91895475021d9
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep2,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,2,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:39:54.651141Z,b6cffaadca650c216ff434b8
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep3,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,3,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:40:28.910106Z,3093da6ebbc68f0e26e796a0
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep4,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,4,1,1,1,1,0,test_failed,,,2026-07-07T13:14:45.624573Z,c594b83c2f8608d8b736d61a
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep5,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,5,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:42:39.603120Z,6c5d8970aedfb5d502587920
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep6,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,6,0,0,0,0,0,stage2_contract_failed,candidate_edit_ops_invalid,stage2_contract_failed,2026-07-07T10:43:08.132742Z,c73eb06b71a75ccbb639d14e
deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4::rep7,deepseek_clean,fal-1.3.0-roadmap,fal,Python,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,7,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:43:37.305769Z,8bacfdb8feba3dfabb952e35
deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3::rep0,deepseek_clean,fal-2.0.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3,0,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:43:09.336765Z,c48571b52ee8c60b7c5ef9a4
deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3::rep1,deepseek_clean,fal-2.0.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3,1,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:44:34.257192Z,04a4da1777d21730c88e3b46
deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3::rep2,deepseek_clean,fal-2.0.0-roadmap,fal,Python,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3,2,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:45:20.228102Z,b528f1b2fd400a0f3b330fde
